id,burst time,initial burst time,arrival time,final priority,wait time,turnaround time,response time,total CPU time,total I/O time,times worked on,start 1,finish 1,priority 1,start 2,finish 2,priority 2,start 3,finish 3,priority 3,start 4,finish 4,priority 4,io start 0,io end 0
6,5,5,2,389,17,24,1,7,3,4,2,3,389,8,10,389,19,21,389,24,26,389,21,24
5,3,3,4,531,3,12,3,9,3,2,4,7,531,10,16,531,-1,-1,-1,-1,-1,-1,7,10
4,6,6,8,123,27,36,23,9,4,3,28,31,123,35,38,123,41,44,123,-1,-1,-1,38,41
3,5,5,5,290,21,30,19,9,3,3,21,24,290,26,28,290,31,35,290,-1,-1,-1,28,31
2,2,2,3,424,11,16,1,5,5,3,3,4,424,7,8,424,16,19,424,-1,-1,-1,8,14
1,4,4,1,34,39,47,1,8,3,3,1,2,34,38,41,34,44,48,34,-1,-1,-1,41,44
