id,burst time,initial burst time,arrival time,final priority,wait time,turnaround time,response time,total CPU time,total I/O time,times worked on,start 1,finish 1,priority 1,start 2,finish 2,priority 2,start 3,finish 3,priority 3,start 4,finish 4,priority 4,io start 0,io end 0
6,9,9,2,389,47,65,16,18,3,4,13,18,389,35,39,389,55,60,389,63,67,389,39,42
5,5,5,4,331,46,58,19,12,3,3,18,23,331,39,44,331,60,62,331,-1,-1,-1,23,26
4,7,7,2,423,48,61,11,13,1,4,8,13,423,33,35,423,50,55,423,62,63,423,35,36
3,8,8,5,290,54,71,23,17,3,4,23,28,290,44,47,290,67,72,290,72,76,290,47,50
2,5,5,1,24,36,47,7,11,1,3,3,8,24,28,33,24,47,48,24,-1,-1,-1,8,9
1,2,2,1,300,45,49,2,4,35,2,1,3,300,48,50,300,-1,-1,-1,-1,-1,-1,3,38
