id,burst time,initial burst time,arrival time,final priority,wait time,turnaround time,response time,total CPU time,total I/O time,times worked on,start 1,finish 1,priority 1,start 2,finish 2,priority 2,start 3,finish 3,priority 3,io start 0,io end 0
6,2,2,2,389,3,6,2,3,3,2,2,4,389,7,8,389,-1,-1,-1,4,7
5,3,3,4,331,11,15,6,4,3,3,9,10,331,11,13,331,18,19,331,13,17
4,1,1,8,423,7,10,1,3,4,2,8,9,423,16,18,423,-1,-1,-1,9,15
3,1,1,5,290,4,6,2,2,3,2,6,7,290,10,11,290,-1,-1,-1,7,10
2,2,2,3,24,8,13,3,5,5,2,4,6,24,13,16,24,-1,-1,-1,6,12
1,6,6,1,300,17,28,1,11,3,3,1,2,300,19,24,300,24,29,300,24,26
