id,burst time,initial burst time,arrival time,final priority,wait time,turnaround time,response time,total CPU time,total I/O time,times worked on,start 1,finish 1,priority 1,start 2,finish 2,priority 2,start 3,finish 3,priority 3,start 4,finish 4,priority 4,start 5,finish 5,priority 5,start 6,finish 6,priority 6,io start 0,io end 0
6,9,9,2,389,50,68,10,18,3,6,9,12,389,23,26,389,35,38,389,51,54,389,60,63,389,67,70,389,38,41
5,5,5,4,331,48,60,11,12,3,5,12,15,331,26,28,331,38,41,331,54,57,331,63,64,331,-1,-1,-1,28,31
4,7,7,2,423,45,58,7,13,1,5,6,9,423,20,23,423,34,35,423,48,51,423,57,60,423,-1,-1,-1,35,36
3,8,8,5,290,54,71,13,17,3,6,15,18,290,28,31,290,41,43,290,64,67,290,70,73,290,73,76,290,43,46
2,5,5,1,24,34,45,5,11,1,4,3,6,24,18,20,24,31,34,24,43,46,24,-1,-1,-1,-1,-1,-1,20,21
1,2,2,1,300,43,47,2,4,35,2,1,3,300,46,48,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,38
