id,burst time,inital burst time,arrival time,priority,wait time,turnaround time,id,Start,Finish
1,0,5,1,290,5,10,1,6,11
2,0,2,1,288,0,2,2,1,3
3,0,10,18,267,5,15,3,23,33
4,0,3,2,288,1,4,4,3,6
5,0,2,10,291,3,5,5,13,15
6,0,3,9,293,6,9,6,15,18
7,0,3,19,278,1,4,7,20,23
8,0,6,28,229,5,11,8,33,39
9,0,2,11,295,7,9,9,18,20
10,0,2,9,290,2,4,10,11,13
