id,burst time,inital burst time,arrival time,priority,wait time,turnaround time,id,Start,Finish
1,0,1,1,13,2,3,1,3,4
2,0,25,1,53,12,37,2,13,38
3,0,1,1,82,0,1,3,1,2
4,0,2,2,5,3,5,4,5,7
5,0,1,2,71,0,1,5,2,3
6,0,3,5,100,2,5,6,7,10
7,0,1,4,122,0,1,7,4,5
8,0,1,8,63,4,5,8,12,13
9,0,1,11,82,0,1,9,11,12
10,0,1,9,73,1,2,10,10,11
